id,category,rule_id,name,description,platform,priority,tags
ux-a11y-01,accessibility,color-contrast,"Contrast Ratio Minimum","Minimum 4.5:1 ratio for normal text; 3:1 for large text (18px+ or 14px bold).",web,CRITICAL,"contrast accessibility wcag aa text"
ux-a11y-02,accessibility,focus-states,"Visible Focus Rings","Visible focus rings on interactive elements (2-4px outline). Never remove focus outline.",web,CRITICAL,"focus ring keyboard accessibility tab navigation"
ux-a11y-03,accessibility,alt-text,"Descriptive Alt Text","All meaningful images must have descriptive alt text. Decorative images use alt=''.",web,CRITICAL,"alt text images accessibility screen reader"
ux-a11y-04,accessibility,aria-labels,"ARIA Labels for Icon-only Buttons","Icon-only buttons require aria-label. Never leave interactive elements unlabeled.",web,CRITICAL,"aria label icon button accessibility"
ux-a11y-05,accessibility,keyboard-nav,"Keyboard Navigation Order","Tab order must match visual reading order. All interactive elements must be keyboard-reachable.",web,CRITICAL,"keyboard navigation tab order accessibility"
ux-a11y-06,accessibility,form-labels,"Form Field Labels","Every input must have an explicit visible label. Placeholder text is not a label.",web,CRITICAL,"form label input accessibility"
ux-a11y-07,accessibility,skip-links,"Skip to Main Content","First focusable element should be skip navigation link for keyboard users.",web,HIGH,"skip link keyboard navigation accessibility"
ux-a11y-08,accessibility,heading-hierarchy,"Sequential Heading Hierarchy","Use h1→h6 in order. Never skip levels (h1 then h3). One h1 per page.",web,HIGH,"heading hierarchy h1 h2 h3 accessibility structure"
ux-a11y-09,accessibility,color-not-only,"Color Not the Only Indicator","Never convey information by color alone. Add icon text pattern as supplement.",web,HIGH,"color only accessibility colorblind indicator"
ux-a11y-10,accessibility,reduced-motion,"Respect prefers-reduced-motion","Reduce or disable animations when user has enabled reduced motion system preference.",web,HIGH,"reduced motion animation accessibility vestibular"
ux-touch-01,touch,touch-target-size,"Minimum Touch Target Size","Touch targets must be at least 44×44px. Extend hit area with padding if visual is smaller.",web,CRITICAL,"touch target 44px clickable area size"
ux-touch-02,touch,touch-spacing,"Touch Target Spacing","Minimum 8px gap between adjacent touch targets to prevent mis-taps.",web,CRITICAL,"touch spacing gap targets mis-tap"
ux-touch-03,touch,hover-vs-tap,"Tap Not Hover for Primary Actions","Don't rely on hover-only interactions. All primary actions must work on tap/click.",web,CRITICAL,"hover tap click primary interaction"
ux-touch-04,touch,loading-buttons,"Disable Button During Async","Disable submit buttons during async operations. Show loading spinner or skeleton.",web,HIGH,"button loading disabled async spinner"
ux-touch-05,touch,error-feedback,"Error Message Near Problem","Show validation errors immediately below the related field not just at top of form.",web,HIGH,"error feedback form validation placement"
ux-touch-06,touch,cursor-pointer,"Cursor Pointer on Clickable Elements","Add cursor-pointer CSS to all clickable non-button elements.",web,MEDIUM,"cursor pointer clickable ux"
ux-perf-01,performance,image-optimization,"Use WebP/AVIF Image Formats","Convert images to WebP or AVIF. Use responsive srcset/sizes. Lazy load below fold.",web,HIGH,"webp avif image optimization performance"
ux-perf-02,performance,image-dimension,"Declare Image Dimensions","Always declare width and height on images to prevent Cumulative Layout Shift (CLS).",web,HIGH,"cls layout shift image dimensions performance"
ux-perf-03,performance,font-loading,"Font Display Swap","Use font-display: swap to prevent invisible text during font load (FOIT).",web,HIGH,"font loading swap foit performance"
ux-perf-04,performance,lazy-loading,"Lazy Load Below-Fold Content","Use dynamic import() for routes and React.lazy for components not visible on initial load.",web,HIGH,"lazy loading code splitting below fold"
ux-perf-05,performance,bundle-splitting,"Split Code by Route","Use React.lazy + Suspense to split code by route. Reduces initial bundle and TTI.",web,HIGH,"bundle splitting code split route performance"
ux-perf-06,performance,progressive-loading,"Skeleton Screens Over Spinners","Use skeleton screens for operations >300ms. Spinner only for <300ms operations.",web,MEDIUM,"skeleton screen loading progressive ux"
ux-perf-07,performance,virtualize-lists,"Virtualize Lists Over 50 Items","Use virtualization for lists with 50+ items to avoid rendering all DOM nodes.",web,MEDIUM,"virtualization long list performance dom"
ux-perf-08,performance,debounce-throttle,"Debounce/Throttle High-Frequency Events","Apply debounce to search inputs (300ms) and throttle to scroll resize handlers.",web,MEDIUM,"debounce throttle search scroll performance"
ux-style-01,style,style-match,"Match Style to Product Type","Choose UI style based on product category and user expectations not personal preference.",web,HIGH,"style match product industry appropriate"
ux-style-02,style,consistency,"Visual Consistency Across Pages","Use the same style effects radius shadows across all pages. Inconsistency breaks trust.",web,HIGH,"consistency style pages components"
ux-style-03,style,no-emoji-icons,"SVG Icons Not Emojis","Use vector icon libraries (Lucide Heroicons) never emojis as structural UI icons.",web,HIGH,"icons svg lucide no emoji"
ux-style-04,style,effects-match-style,"Effects Match Chosen Style","Shadows blur radius must align with the chosen style. No glassmorphism in flat design.",web,MEDIUM,"effects shadows blur radius style consistency"
ux-style-05,style,primary-action,"One Primary Action Per Screen","Each screen/view should have exactly one primary CTA. Secondary actions are visually subordinate.",web,HIGH,"primary action cta single focus"
ux-layout-01,layout,viewport-meta,"Viewport Meta Tag","Always include <meta name='viewport' content='width=device-width initial-scale=1'>. Never disable zoom.",web,CRITICAL,"viewport meta mobile responsive"
ux-layout-02,layout,mobile-first,"Mobile-First Design","Design for 375px first then scale up. Don't design desktop and adapt down.",web,HIGH,"mobile first responsive design 375"
ux-layout-03,layout,breakpoint-consistency,"Systematic Breakpoints","Use consistent breakpoints: 375/768/1024/1440. Don't use random pixel values.",web,HIGH,"breakpoints responsive consistent systematic"
ux-layout-04,layout,readable-font-size,"Minimum 16px Body Text on Mobile","Body text minimum 16px on mobile to prevent iOS auto-zoom on input focus.",web,HIGH,"font size 16px mobile ios zoom"
ux-layout-05,layout,horizontal-scroll,"No Horizontal Scroll","Content must fit viewport width on mobile. No horizontal scroll except intentional carousels.",web,CRITICAL,"horizontal scroll mobile viewport overflow"
ux-layout-06,layout,spacing-scale,"8pt/8dp Spacing System","Use 4pt/8pt incremental spacing. Avoid arbitrary pixel values for margins/padding.",web,MEDIUM,"spacing scale 8pt system consistent"
