id,name,description,effects,radius,shadows,use_case,anti_patterns,tags
corporate-minimal,"Corporate Minimal","Estilo profesional limpio con jerarquía clara. Sin ornamentos. Espaciado generoso. Tipografía fuerte.","Sin blur ni glassmorphism. Bordes sutiles. Colores sólidos semánticos.","4-8px","Sombras suaves shadow-sm/md","Compliance SaaS B2B legal finanzas gobierno consultoría","Demasiado decorativo emojis en iconos mezcla de estilos","professional clean corporate b2b compliance legal fintech gobierno"
flat-design,"Flat Design","Sin sombras ni gradientes. Colores planos sólidos. Iconografía clara. Máximo dos colores por componente.","Sin sombras sin gradientes sin profundidad. Colores puros.","4-6px","Sin sombras o shadow-xs únicamente","Apps móviles marketing dashboards educación","Bordes radius excesivos mezclar con skeuomorphism","flat clean simple mobile marketing"
material-design,"Material Design","Sistema de Google. Elevación mediante sombras. Estado ripple. Motion con spring. Color roles (primary surface error).","Box shadows por nivel de elevación. State layers overlay.","4px (M3: 12px full rounding)",Sombras escalonadas elevation-1 al 5,"Apps multiplataforma dashboards empresariales Android web","Mezclar Material con iOS HIG ignorar state layers","material google elevation state layers android"
glassmorphism,"Glassmorphism","Fondos translúcidos con blur. Bordes con opacidad. Sensación de profundidad en capas. Requiere fondo con gradiente/imagen.","backdrop-filter: blur(16-24px). bg-white/10-30. border border-white/20.","12-20px","Sombra suave con color: shadow-lg shadow-blue-500/20","Landing pages hero sections cards destacadas dark mode","Fondo plano sin gradiente exceso de blur legibilidad pobre","glassmorphism blur translucent modern hero dark"
neumorphism,"Neumorphism (Soft UI)","Superficies que parecen extruidas del fondo. Sombras internas y externas del mismo color de fondo. Muy sutil.","Double shadow: shadow-[inset_2px_2px_5px_#d1d9e6,-2px_-2px_5px_#ffffff].","12-16px","Doble sombra inward/outward misma tonalidad fondo","Dashboards suaves wearables apps de salud onboarding","Contraste pobre accesibilidad difícil dark mode complejo","neumorphism soft ui subtle depth elegant"
bento-grid,"Bento Grid","Layout tipo caja asiática. Tarjetas de distintos tamaños en grid. Cada celda es autónoma. Popular en portfolios y features.","Cards con bordes definidos. Sin efectos especiales. El layout es el efecto.","12-16px","shadow-sm a shadow-md por tarjeta","Portfolios features sections landing pages SaaS dashboards","Mal responsive a menudo demasiado denso en mobile","bento grid cards layout portfolio features saas"
minimalism,"Minimalism","Menos es más. Solo elementos esenciales. Espacio en blanco como diseño. Tipografía como jerarquía principal.","Sin ornamentos ni decoraciones. Líneas finas. Colores neutros con un acento.","0-4px","Sin sombras o muy sutiles","Portfolios luxury editorial premium herramientas zen","Falta de feedback visual demasiado vacío confunde al usuario","minimal clean whitespace typography editorial luxury"
brutalism,"Brutalism","Crudo sin pulir. Bordes duros sin radius. Tipografía massive bold. Colores en bloque. Intencional sin refinamiento.","Sin sombras sin blur. Colores planos fuertes. Bordes definidos 2-4px.","0px","Sin sombras","Agencias creativas portfolios arte experimental marketing bold","B2B enterprise compliance gobierno fintech","brutalism bold raw editorial creative agency experimental"
dark-mode,"Dark Mode","Modo oscuro optimizado. Superficies en lugar de negro puro. Elevación mediante valor tonal. Texto no blanco puro.","Fondos: slate-900/950 no negro puro. Texto: slate-100 no blanco puro.","Heredado del estilo base","Sombras menos visibles más blur/glow","SaaS técnico dashboards developer tools apps nocturnas","Negro puro texto blanco puro sin distinción de superficies","dark mode night professional technical developer"
claymorphism,"Claymorphism","Elementos con apariencia 3D blanda. Sombras offset de color. Sensación de plastilina. Colores pastel intensos.","shadow-[8px_8px_0px_#colorOscuro]. border-2. bg-colores-saturados.","20-30px (muy redondeado)","Sombra offset con color fuerte","Apps de consumo kids educación gaming playful onboarding","Enterprise B2B compliance formal","claymorphism clay 3d soft playful consumer kids"
skeuomorphism,"Skeuomorphism","Imita objetos físicos reales. Texturas metálicas cuero madera. Botones que parecen presionables. Pre-iOS7.","Gradientes complejos texturas. Inset shadows en estados pressed. Múltiples capas.","Variable según objeto","Sombras complejas múltiples capas","Apps especializadas interfaces musicales calculadoras notas","Apps modernas en general overdesign","skeuomorphism realistic texture physical familiar"
gradient-mesh,"Gradient Mesh","Fondos con mallas de gradiente multicolor. Aurora borealis effect. Colores que se mezclan orgánicamente.","CSS mesh-gradient o múltiples radial-gradient superpuestos. blur en fondos.","12-16px","Glows de color: shadow-[0_0_60px_rgba(color,0.4)]","Landing pages hero sections SaaS moderno portafolios creativos","Texto sobre gradiente sin overlay oscuro legibilidad","gradient mesh aurora colorful modern landing creative"
aurora-ui,"Aurora UI","Variante del glassmorphism con aurora/glow effect. Colores vibrantes que brillan. Muy trendy en AI products.","Radial gradients como luces. Blur en fondos. Borders brillantes.","16-24px","Glows coloreados shadow-[0_0_80px_rgba(99,102,241,0.5)]","AI products landing pages tech premium moderno","Sobreuso en enterprise saturación visual","aurora glow ai modern tech vibrant hero"
retro-nostalgic,"Retro / Nostalgic","Paleta limitada pixel art o estética 80s-90s. Tipografía monospace o display retro. Mucha personalidad.","Pixelado dithering o efectos CRT scanlines. Colores limitados.","0px o muy pequeño","Sombras pixeladas offset","Portfolios creativos gaming indie marcas nostálgicas","B2B enterprise productos serios","retro nostalgic pixel 80s 90s gameboy gaming"
swiss-international,"Swiss International (Helvetica Style)","Grids precisos tipografía helvetica/grotesque como protagonista. Sin decoración. Solo tipo y forma.","Cero ornamentos. Solo tipografía color y geometría. Grid perfecto.","0-2px","Sin sombras","Identidad corporativa editorial diseño gráfico agencias","Productos con mucho contenido users esperan guías visuales","swiss international typography helvetica grid clean"
