id,stack,category,rule,description,example,tags
react-memo-optimization,react,performance,Use React.memo for expensive components,"Wrap components in React.memo when they receive the same props frequently. Combine with useCallback for handlers.","const Card = React.memo(({ data }) => <div>{data.title}</div>)","react memo performance optimization rerender"
react-usecallback-handlers,react,performance,Stabilize event handlers with useCallback,"Always wrap handlers in useCallback when passed to memoized children to prevent unnecessary rerenders.","const handleClick = useCallback(() => setOpen(true), [])","react usecallback handler stable memo"
react-usememo-expensive,react,performance,Memoize expensive calculations with useMemo,"Use useMemo for computationally expensive derivations. Not needed for simple values.","const sorted = useMemo(() => items.sort(...), [items])","react usememo expensive calculation"
react-lazy-loading,react,performance,Lazy-load route components with React.lazy,"Split code by route using React.lazy + Suspense. Reduces initial bundle significantly.","const Dashboard = lazy(() => import('./pages/Dashboard'))","react lazy loading code splitting routes"
react-suspense-boundaries,react,performance,Add Suspense boundaries with skeleton fallbacks,"Wrap lazy components in Suspense with skeleton fallback to prevent blank screens.","<Suspense fallback={<DashboardSkeleton />}><Dashboard /></Suspense>","react suspense boundary skeleton fallback"
react-query-keys,react,data-fetching,Include all dependencies in React Query keys,"Query keys must include all variables the query depends on (userId empresaId etc) for proper cache isolation.","useQuery({ queryKey: ['tareas', empresaId, userId], ... })","react query tanstack cache keys isolation"
react-query-invalidation,react,data-fetching,Invalidate queries after mutations,"Always call queryClient.invalidateQueries after mutations to keep UI in sync.","onSuccess: () => queryClient.invalidateQueries({ queryKey: ['tareas'] })","react query invalidation mutation sync"
react-query-optimistic,react,data-fetching,Use optimistic updates for instant UI feedback,"Update cache immediately on mutation then rollback on error for snappy UX.","onMutate: async (vars) => { queryClient.setQueryData([...], updater) }","react query optimistic update instant ui"
react-key-stability,react,rendering,Use stable unique keys in lists,"Never use array index as key. Use IDs or stable unique identifiers.","items.map(item => <Row key={item.id} data={item} />)","react key list rendering stability"
react-avoid-anon-functions,react,performance,Avoid anonymous functions in JSX props,"Extract handlers outside JSX to prevent recreation on every render.","const handleDelete = (id) => ...; return <Button onClick={handleDelete}>","react performance anonymous function jsx"
react-state-colocation,react,architecture,Colocate state close to where it is used,"Don't lift state higher than necessary. Keep state in the smallest component that needs it.","// Keep dialog open state in the Dialog component, not parent","react state colocation architecture lifting"
react-context-split,react,architecture,Split contexts by update frequency,"Separate rarely-updated contexts (auth theme) from frequently-updated ones (selection filters).","// AuthContext + ThemeContext separate from UIStateContext","react context split performance"
tailwind-token-over-arbitrary,tailwind,consistency,Prefer design tokens over arbitrary values,"Use Tailwind's built-in scale (p-4 gap-6) not arbitrary [padding:17px]. Consistency over precision.","Use p-4 not p-[17px]. Use text-sm not text-[13px].","tailwind tokens consistency arbitrary values"
tailwind-semantic-colors,tailwind,theming,Use CSS variables for semantic colors,"Define --primary --secondary --accent as CSS custom properties in index.css. Use them in tailwind.config.","className='bg-primary text-primary-foreground' via CSS var","tailwind semantic colors css variables theming"
tailwind-dark-mode-class,tailwind,theming,Configure dark mode with class strategy,"Use class-based dark mode for explicit toggling not media query.","darkMode: 'class' in tailwind.config; add 'dark' class to <html>","tailwind dark mode class strategy"
tailwind-cn-utility,tailwind,pattern,Use cn() utility for conditional classes,"Use clsx + tailwind-merge via cn() helper to merge conditional classes safely.","import { cn } from '@/lib/utils'; cn('base', condition && 'variant')","tailwind cn clsx merge conditional"
