id,name,use_case,data_type,library,when_to_use,when_not_to_use,tags
line-chart,"Line Chart","Tendencias a lo largo del tiempo","Continuo temporal",recharts,"Series temporales crecimiento evolución de métricas","Datos sin orden temporal categorías discretas","linea tendencia tiempo serie temporal crecimiento"
bar-chart-vertical,"Bar Chart (Vertical)","Comparar valores entre categorías","Categórico",recharts,"Comparar 2-15 categorías mostrar ranking diferencias claras","Demasiadas categorías >15 datos continuos","barra vertical comparacion categorias ranking"
bar-chart-horizontal,"Bar Chart (Horizontal)","Comparar cuando las etiquetas son largas","Categórico",recharts,"Labels largas >10 caracteres rankings ordenados comparación","Pocas categorías cortas con labels breves","barra horizontal labels largas ranking comparacion"
grouped-bar,"Grouped Bar Chart","Comparar subgrupos entre categorías","Multi-series",recharts,"Comparar múltiples series en mismas categorías hasta 3-4 grupos","Más de 4 grupos difícil de leer muchas series","barra agrupada subgrupos multi-serie comparacion"
stacked-bar,"Stacked Bar Chart","Composición y total por categoría","Composición",recharts,"Mostrar partes de un todo evolución de composición","Comparar componentes individuales entre sí","barra apilada composicion partes total"
area-chart,"Area Chart","Tendencia con énfasis en volumen","Continuo temporal",recharts,"Mostrar volumen total evolución acumulada series únicas","Múltiples series superpuestas (usar línea)","area tendencia volumen acumulado temporal"
stacked-area,"Stacked Area Chart","Composición acumulada en el tiempo","Multi-series temporal",recharts,"Evolución de composición partes de un todo en tiempo","Comparar valores absolutos entre series","area apilada composicion tiempo evolucion"
pie-chart,"Pie Chart","Partes de un todo","Proporción",recharts,"Máximo 5 categorías diferencias claras entre porciones","Más de 5 categorías valores similares (usar bar)","pie pastel proporcion partes todo circulo"
donut-chart,"Donut Chart","Proporción con métrica central destacada","Proporción",recharts,"Mostrar porcentaje principal con contexto KPI central","Más de 5 categorías comparar múltiples series","donut rosquilla proporcion kpi central"
scatter-plot,"Scatter Plot","Correlación entre dos variables","Bi-variado",recharts,"Explorar correlaciones outliers distribución de puntos","Mostrar tendencias sin datos suficientes","scatter dispersion correlacion variables outliers"
bubble-chart,"Bubble Chart","Tres dimensiones de datos en 2D","Tri-variado",recharts,"Comparar tres métricas simultáneas el tamaño es la tercera dimensión","Demasiados puntos solapamiento difícil de leer","bubble burbuja tres dimensiones comparacion"
heatmap,"Heatmap","Patrones en matriz de datos","Matricial",recharts,"Actividad por hora/día calendarios de calor datos matriciales","Datos sin estructura matricial natural","heatmap calor patron matriz actividad calendario"
treemap,"Treemap","Jerarquía y proporciones anidadas","Jerárquico",recharts,"Composición de un todo con jerarquía estructuras anidadas proporciones","Series temporales sin jerarquía","treemap jerarquia proporciones anidado composicion"
funnel-chart,"Funnel Chart","Conversión y pérdida en etapas","Secuencial",recharts,"Pipelines de ventas conversión por etapas onboarding","Datos sin relación secuencial etapas independientes","funnel embudo conversion etapas pipeline ventas"
radial-bar,"Radial Bar Chart","KPIs circulares comparación angular","Categórico",recharts,"Mostrar progreso hacia meta KPIs múltiples en poco espacio","Comparaciones precisas (usar bar) muchas categorías","radial circular kpi progreso meta barra"
gauge-chart,"Gauge / Speedometer","Indicador de progreso único","Único valor",recharts,"Dashboard KPI único nivel de completitud score","Múltiples KPIs comparaciones","gauge velocimetro progreso kpi score indicador"
waterfall-chart,"Waterfall Chart","Contribuciones positivas y negativas al total","Incremental",recharts,"P&L análisis financiero variaciones explicar cambios de total","Datos sin relación incremental categorías simples","waterfall cascada incremental financiero variacion pl"
histogram,"Histogram","Distribución de frecuencias","Distribución",recharts,"Distribución de una variable continua frecuencias edades precios","Datos categóricos sin distribución natural","histograma distribucion frecuencia continuo"
box-plot,"Box Plot","Distribución estadística y outliers","Estadístico",recharts,"Comparar distribuciones entre grupos mostrar mediana quartiles outliers","Usuarios no técnicos que no conocen estadística","box plot caja estadistica distribucion quartiles outliers"
candlestick,"Candlestick Chart","Precios OHLC en finanzas","Financiero temporal",recharts,"Mercados financieros precios acciones criptomonedas OHLC","Datos no financieros usuarios no familiarizados","candlestick vela financiero ohlc acciones crypto"
sankey-diagram,"Sankey Diagram","Flujos y transferencias entre nodos","Flujo",recharts,"Flujos de energía dinero usuarios procesos donde van las cosas","Datos simples sin flujos entre entidades","sankey flujo transferencia nodo proceso"
geo-map,"Geographic Map","Datos geográficos por región","Geoespacial",recharts,"Distribución geográfica ventas por estado comparación países","Datos sin componente geográfico","mapa geografico region pais estado distribucion"
timeline,"Timeline / Gantt","Eventos y duraciones en el tiempo","Temporal secuencial",recharts,"Proyectos hitos deadlines historia eventos cronológicos","Comparaciones de valores sin componente temporal","timeline cronologia gantt hitos proyecto eventos"
sparkline,"Sparkline","Mini tendencia compacta en tabla o KPI","Inline temporal",recharts,"KPI cards tablas resumen mostrar dirección sin detalle","Análisis detallado comunicar valores exactos","sparkline mini tendencia compacto inline kpi"
combo-chart,"Combo Chart (Bar + Line)","Dos métricas con diferentes escalas","Multi-tipo",recharts,"Volumen vs precio ingresos vs crecimiento dos escalas distintas","Más de dos tipos de datos confusión visual","combo barra linea dos metricas escalas dual"
