id,heading,body,mono,personality,weight_heading,use_case,tags
proyecto-actual,"Fraunces","DM Sans","DM Mono",professional-elegant,700,"Compliance SaaS B2B México — paleta Navy — proyecto actual calendario-compliance","fraunces dm sans serif professional elegant compliance b2b actual"
inter-inter,"Inter","Inter","JetBrains Mono",clean-neutral,600,"SaaS dashboards paneles de admin interfaces densas","inter neutral clean saas dashboard admin enterprise"
plus-jakarta-inter,"Plus Jakarta Sans","Inter","Fira Code",modern-professional,700,"SaaS moderno startups B2B tech","plus jakarta modern professional saas b2b tech"
dm-sans-dm-sans,"DM Sans","DM Sans","DM Mono",approachable-clean,600,"Productos tech amigables onboarding apps","dm sans approachable clean tech friendly"
geist-geist,"Geist","Geist","Geist Mono",minimal-sharp,600,"Dev tools dashboards técnicos interfaces minimalistas","geist minimal sharp developer technical"
cal-sans-inter,"Cal Sans","Inter","JetBrains Mono",friendly-modern,700,"SaaS orientado a productividad calendarios collaboration","cal sans friendly modern productivity"
sora-sora,"Sora","Sora","Source Code Pro",futuristic-clean,700,"AI productos tech avanzado fintech crypto","sora futuristic clean ai tech"
outfit-outfit,"Outfit","Outfit","Cascadia Code",geometric-modern,700,"Startups consumidor apps modernas diseño limpio","outfit geometric modern startup consumer"
space-grotesk-space,"Space Grotesk","Space Grotesk","Space Mono",distinctive-modern,700,"Portfolios creativos tech startups branding","space grotesk distinctive modern creative"
raleway-open-sans,"Raleway","Open Sans","Source Code Pro",elegant-readable,700,"Landing pages premium portafolios B2B","raleway elegant readable premium landing"
montserrat-lato,"Montserrat","Lato","Roboto Mono",strong-clean,700,"Corporativo marketing landing pages empresarial","montserrat strong corporate marketing"
playfair-source-sans,"Playfair Display","Source Sans 3","Source Code Pro",editorial-premium,700,"Legal compliance premium editoriales reportes","playfair editorial premium legal compliance"
merriweather-open-sans,"Merriweather","Open Sans","Courier New",trustworthy-readable,700,"Legal compliance contenido editorial confianza","merriweather trustworthy readable legal"
libre-baskerville-lato,"Libre Baskerville","Lato","Roboto Mono",classic-professional,700,"Consultoría legal finanzas formal corporativo","libre baskerville classic professional formal"
cormorant-nunito,"Cormorant Garamond","Nunito Sans","DM Mono",luxury-refined,600,"Premium luxury real estate consultoría alta gama","cormorant luxury refined premium"
eb-garamond-nunito,"EB Garamond","Nunito","JetBrains Mono",classic-elegant,600,"Editorial premium reportes anuales documentos formales","eb garamond classic elegant editorial"
josefin-lato,"Josefin Sans","Lato","Roboto Mono",geometric-clean,600,"Moda retail portafolio creativo","josefin geometric clean fashion creative"
nunito-nunito,"Nunito","Nunito","Fira Mono",friendly-rounded,700,"Apps de consumo onboarding educación kids","nunito friendly rounded consumer education"
poppins-poppins,"Poppins","Poppins","Fira Code",geometric-friendly,600,"Startups consumidor apps mobile landing pages","poppins geometric friendly startup mobile"
rubik-rubik,"Rubik","Rubik","Cascadia Code",rounded-modern,700,"Apps productividad consumidor diseño moderno","rubik rounded modern productivity consumer"
lexend-inter,"Lexend","Inter","JetBrains Mono",readable-accessible,600,"Educación accesibilidad lectores dislexia contenido largo","lexend readable accessible education"
work-sans-work,"Work Sans","Work Sans","Source Code Pro",clean-versatile,600,"Dashboards herramientas de trabajo B2B SaaS","work sans clean versatile dashboard tools"
be-vietnam-inter,"Be Vietnam Pro","Inter","DM Mono",modern-tech,700,"Tech B2B SaaS moderno interfaces densas","be vietnam modern tech saas"
manrope-manrope,"Manrope","Manrope","JetBrains Mono",geometric-modern,700,"Fintech cripto startups moderno elegante","manrope geometric modern fintech crypto"
urbanist-urbanist,"Urbanist","Urbanist","Cascadia Code",sharp-modern,700,"Startups tech moderno branding digital","urbanist sharp modern startup branding"
cabinet-satoshi,"Cabinet Grotesk","Satoshi","Fira Mono",bold-contemporary,700,"Startups marketing branding agencias creativas","cabinet grotesk bold contemporary creative agency"
clash-display-cabinet,"Clash Display","Cabinet Grotesk","DM Mono",editorial-modern,700,"Landing pages marketing campañas impacto","clash display editorial impact marketing"
bricolage-bricolage,"Bricolage Grotesque","Bricolage Grotesque","Fira Code",expressive-variable,700,"Portfolios creativos experimentales arte digital","bricolage expressive creative experimental"
overused-grotesk,"Overused Grotesk","Inter","JetBrains Mono",neutral-grotesque,500,"Interfaces neutras minimalismo europeo tech","overused grotesk neutral minimal european"
instrument-serif,"Instrument Serif","Instrument Sans","DM Mono",sophisticated-editorial,600,"Editorial premium reportes finanzas consultoría","instrument serif sophisticated editorial premium"
lato-lato,"Lato","Lato","Courier New",clean-universal,400,"Uso general corporativo email plantillas básicas","lato clean universal corporate"
source-sans-source,"Source Sans 3","Source Sans 3","Source Code Pro",technical-readable,400,"Documentación técnica software herramientas dev","source sans technical readable documentation"
roboto-roboto,"Roboto","Roboto","Roboto Mono",material-neutral,500,"Material Design Android apps web corporativo","roboto material neutral android"
ibm-plex-ibm,"IBM Plex Sans","IBM Plex Sans","IBM Plex Mono",technical-corporate,500,"Enterprise software IBM ecosystem tech corporativo","ibm plex technical corporate enterprise"
noto-noto,"Noto Sans","Noto Sans","Noto Sans Mono",universal-multilingual,400,"Aplicaciones multilingüe internacionalización CJK","noto universal multilingual i18n"
