product_type,industry_keywords,recommended_style,recommended_palette,recommended_font,reasoning,tags
compliance-saas,"compliance regulatorio obligaciones certificaciones comex immex prosec oea sat mexico",corporate-minimal,calendario-compliance-navy,proyecto-actual,"El usuario ya tiene la paleta Navy #003366 + Red #D52B1E del proyecto. Fraunces+DM Sans es la combinación establecida. Corporate Minimal comunica autoridad y confianza críticas para compliance regulatorio.","compliance comex mexico regulatorio saas b2b"
b2b-saas-general,"saas b2b software empresa gestion plataforma herramienta productividad",corporate-minimal,saas-navy-professional,inter-inter,"B2B SaaS requiere apariencia profesional que inspire confianza. Navy/Azul oscuro comunica estabilidad. Inter es el estándar de legibilidad para dashboards densos.","b2b saas professional dashboard enterprise"
legal-platform,"legal ley abogado contrato compliance juridico",corporate-minimal,legal-charcoal,playfair-source-sans,"Lo legal requiere seriedad y autoridad. Charcoal/gris oscuro evoca formalidad. Playfair aporta carácter editorial clásico que genera confianza.","legal formal autoridad compliance contratos"
fintech-banking,"fintech banco financiero pagos inversiones dinero credito",corporate-minimal,fintech-blue-secure,manrope-manrope,"Fintech requiere máxima confianza y seguridad. Azul profundo es estándar de trust financiero. Manrope es moderno y legible para datos numéricos.","fintech banking financiero pagos confianza"
fintech-crypto,"crypto blockchain defi nft web3 inversiones digitales",fintech-dark-premium,fintech-dark-premium,sora-sora,"Crypto/Web3 usa dark mode por convención. Sora tiene feeling futurista. Dorado/amber como acento comunica valor y premium.","crypto blockchain dark premium fintech"
healthcare-medical,"salud hospital medico clinica paciente farmacia",flat-design,healthcare-teal-care,lexend-inter,"Healthcare requiere accesibilidad máxima (Lexend mejora lectura). Teal comunica salud y bienestar sin la frialdad del azul clínico puro.","healthcare medico salud accesibilidad"
government-public,"gobierno publico tramite ciudadano municipio federal estado",corporate-minimal,government-navy-official,source-sans-source,"Gobierno requiere formalidad y neutralidad. Navy oficial comunica autoridad. Source Sans es legible en documentos institucionales.","gobierno formal oficial publico"
education-elearning,"educacion aprendizaje curso escuela universidad estudiante",flat-design,education-blue-trust,nunito-nunito,"Educación requiere accesibilidad y amigabilidad. Nunito tiene redondeado que reduce ansiedad. Azul confiable para institución académica.","educacion aprendizaje estudiante accesible"
ecommerce-retail,"tienda comercio producto comprar carrito checkout pago",flat-design,ecommerce-orange-energy,poppins-poppins,"Ecommerce requiere conversión. Naranja/CTA energético impulsa acción. Poppins es legible y comercialmente probado.","ecommerce tienda comercio conversion"
ecommerce-luxury,"luxury premium exclusivo lujo alta-gama premium brand",minimalism,ecommerce-purple-luxury,cormorant-nunito,"Luxury requiere espacio blanco abundante y tipografía serif elegant. El producto habla. Cormorant Garamond comunica exclusividad.","luxury premium exclusivo lujo minimalismo"
