id,name,industry,tone,primary,secondary,accent,background,surface,text,tags
calendario-compliance-navy,"Calendario Compliance (proyecto actual)",compliance,professional,#003366,#004080,#D52B1E,#F9FAFB,#FFFFFF,#1E2D47,"b2b saas compliance corporate navy professional comex mexico actual proyecto"
saas-navy-professional,"Corporate Navy SaaS",saas,professional,#003366,#1E4D8C,#F59E0B,#F8FAFC,#FFFFFF,#1E293B,"b2b saas compliance corporate navy professional trust"
saas-indigo-modern,"Modern Indigo SaaS",saas,modern,#4F46E5,#6366F1,#EC4899,#F8FAFC,#FFFFFF,#1E293B,"saas modern indigo purple tech startup"
saas-slate-minimal,"Slate Minimal SaaS",saas,minimal,#334155,#475569,#3B82F6,#F8FAFC,#FFFFFF,#0F172A,"saas minimal slate corporate clean professional"
saas-emerald-growth,"Emerald Growth SaaS",saas,optimistic,#059669,#10B981,#F59E0B,#F0FDF4,#FFFFFF,#064E3B,"saas growth emerald green success positive"
saas-violet-creative,"Violet Creative Platform",saas,creative,#7C3AED,#8B5CF6,#F59E0B,#FAF5FF,#FFFFFF,#3B0764,"saas creative platform violet purple bold"
compliance-blue-trust,"Compliance Blue Trust",compliance,trust,#1E40AF,#2563EB,#D97706,#EFF6FF,#FFFFFF,#1E3A5F,"compliance legal regulatory trust blue professional government"
compliance-dark-authority,"Compliance Dark Authority",compliance,authoritative,#0F172A,#1E293B,#3B82F6,#020617,#0F172A,#E2E8F0,"compliance dark authority government enterprise"
legal-charcoal,"Legal Charcoal",legal,serious,#1F2937,#374151,#B45309,#F9FAFB,#FFFFFF,#111827,"legal law compliance serious charcoal professional"
legal-burgundy-premium,"Legal Burgundy Premium",legal,premium,#7C2D12,#9A3412,#D97706,#FFF7F0,#FFFFFF,#431407,"legal premium burgundy exclusive professional"
fintech-blue-secure,"Fintech Blue Secure",fintech,secure,#1D4ED8,#2563EB,#10B981,#EFF6FF,#FFFFFF,#1E3A5F,"fintech banking secure blue trust payment"
fintech-dark-premium,"Fintech Dark Premium",fintech,premium,#111827,#1F2937,#F59E0B,#030712,#111827,#F9FAFB,"fintech dark premium banking crypto wealth"
