id,name,description,sections,cta_strategy,use_case,tags
hero-saas-split,"Hero SaaS Split","Hero en dos columnas: copy izquierda producto/screenshot derecha. CTA prominente. Confianza abajo del CTA.","Hero→Logos Clientes→Features→Pricing→Testimonials→CTA Final","CTA primario: Prueba Gratis. Secundario: Ver Demo. Trust: Sin tarjeta de crédito","SaaS B2B con screenshot/demo del producto","saas hero split screenshot demo b2b"
hero-centered-bold,"Hero Centrado Bold","Headline grande centrado. Subtítulo. Un CTA. Producto abajo del fold. Simple y enfocado en conversion.","Hero→Features (3 cols)→Social Proof→Pricing→FAQ→Footer","CTA único centrado. Headline como propuesta de valor directa","Startups productos nuevos MVP lanzamientos","hero centrado bold headline cta conversion startup"
hero-dark-gradient,"Hero Dark con Gradiente","Dark mode con gradiente aurora. Para AI/tech products. Headline impactante. UI screenshot con glow.","Hero Dark→Features Tech→Integrations→Pricing→Testimonials→CTA","CTA: Empieza Gratis. Glow animation en botón. Trust signal bajo CTA","AI products tech platforms dev tools","hero dark gradient aurora ai tech developer"
problem-solution,"Problem → Agitation → Solution","Empieza describiendo el dolor del usuario. Amplifica el problema. Presenta la solución como alivio.","Problem Statement→Agitation→Solution Hero→How It Works→Features→CTA","CTA aparece después de presentar la solución. Urgency sin presión","B2B SaaS con pain point claro compliance legal","problem solution pain point b2b compliance"
features-bento,"Features Grid Bento","Grid de features tipo bento. Cards de distintos tamaños cada una con icon + title + description.","Hero Simple→Bento Features Grid→Pricing→Testimonials→CTA","CTA principal en hero. Bento refuerza value proposition","SaaS con múltiples features sin pricing complejo","features bento grid cards saas"
social-proof-heavy,"Social Proof Heavy","Logos de clientes prominentes. Testimonios con foto nombre empresa. Métricas de impacto (NPS stats).","Hero→Logos Wall→Stats Block→Testimonials Grid→Case Studies→CTA","CTA después de testimonios cuando trust es máximo","B2B enterprise productos con clientes reconocibles","social proof logos testimonials trust enterprise b2b"
pricing-forward,"Pricing Forward","Pricing en el hero o muy arriba. Para productos con precio claro y ventaja competitiva en precio.","Hero→Pricing Table→Features por Plan→FAQ→Testimonials→CTA","Toggle mensual/anual. Highlight plan recomendado. CTA por plan","SaaS con pricing competitivo o freemium claro","pricing table plans forward saas comparison"
how-it-works,"How It Works Journey","Sección prominente de cómo funciona. Steps numerados o timeline. Reduce fricción de onboarding.","Hero→How It Works (3-4 steps)→Features→Pricing→CTA","CTA después de How It Works cuando el producto está claro","Productos con flujo complejo o nuevo concepto","how it works steps journey onboarding"
video-hero,"Video Hero","Video background o video embebido como protagonista del hero. Para productos con demo visual fuerte.","Video Hero→Features→Testimonials→Pricing→CTA","CTA sobre video overlay. Play button secundario para ver demo completo","SaaS con demo producto visual compelling","video hero demo visual compelling background"
comparison-vs,"Competitor Comparison","Tabla o visual comparando con competidores. Para productos con ventaja clara sobre alternativas.","Hero→Comparison Table→Features→Testimonials→Pricing→CTA","CTA después de comparison cuando la ventaja es obvia","Productos con clara ventaja vs alternativas conocidas","comparison competitor table vs alternatives"
