id,style,css_keywords,ai_prompt,tailwind_classes,tags
corporate-minimal-prompt,corporate-minimal,"clean professional minimal whitespace","Design a clean professional UI with generous whitespace, strong typography hierarchy, semantic color tokens (navy primary, red accent), subtle borders, and shadow-sm cards. No decorative elements.","bg-background text-foreground shadow-sm rounded-lg border border-border p-6","corporate minimal professional clean b2b"
glassmorphism-prompt,glassmorphism,"glass blur translucent frosted","Design a glassmorphism UI with frosted glass panels (backdrop-blur-md), semi-transparent backgrounds (bg-white/20), subtle white borders (border-white/20), and gradient background behind panels.","backdrop-blur-md bg-white/20 border border-white/20 rounded-2xl shadow-xl","glassmorphism blur translucent frosted glass"
dark-mode-prompt,dark-mode,"dark night midnight deep background","Design a dark mode UI with slate-900 surface (not pure black), slate-100 text (not pure white), elevated surfaces via slate-800/700, and vibrant accent color glows for interactive elements.","bg-slate-900 text-slate-100 border-slate-700 bg-slate-800","dark mode night minimal professional"
bento-grid-prompt,bento-grid,"grid cards mosaic layout tiles","Design a bento grid layout with cards of varying sizes (1×1, 1×2, 2×1, 2×2) on a clean grid. Each card has a single focused purpose. Consistent border-radius and padding.","grid grid-cols-4 gap-4 rounded-2xl border border-border p-6 col-span-2","bento grid cards mosaic tiles"
flat-design-prompt,flat-design,"flat solid no-shadow clean geometric","Design a flat UI with solid colors, no gradients, no shadows, simple geometric shapes, and bold color blocks. Clean icons. Primary interaction through color change.","bg-primary text-primary-foreground rounded-md border-0 shadow-none","flat design solid geometric clean"
minimalism-prompt,minimalism,"minimal whitespace typography-first clean","Design a minimalist UI with abundant whitespace as a design element, typography as the primary visual hierarchy, monochromatic palette with single accent, and zero decorative elements.","max-w-prose mx-auto space-y-8 font-light tracking-wide","minimal whitespace typography editorial"
neumorphism-prompt,neumorphism,"soft extruded depth inset tactile","Design a neumorphic UI with elements appearing extruded from the background using matched double shadows (light top-left, dark bottom-right), muted background color, and rounded shapes.","rounded-2xl shadow-[6px_6px_12px_#c8d0e7,-6px_-6px_12px_#ffffff] bg-[#e0e5ec]","neumorphism soft ui depth inset"
brutalism-prompt,brutalism,"bold raw border thick black offset","Design a brutalist UI with thick black borders (border-4 border-black), raw typography (bold uppercase), solid color blocks, offset box shadows (shadow-[4px_4px_0px_#000]), and no border-radius.","border-4 border-black shadow-[4px_4px_0px_#000000] rounded-none bg-yellow-400","brutalism bold raw border thick"
gradient-vibrant-prompt,gradient-vibrant,"gradient colorful vibrant modern flowing","Design a vibrant gradient UI with mesh gradients or smooth linear gradients from purple to indigo to pink, semi-transparent overlays, and glowing accent elements.","bg-gradient-to-br from-violet-600 via-indigo-600 to-pink-600 text-white","gradient vibrant colorful modern"
aurora-ai-prompt,aurora-ui,"glow radial neon aurora blur dark","Design an aurora/glow UI with dark background, multiple colored radial gradients (indigo violet emerald) creating an aurora effect, blurred shapes, and glowing interactive elements.","bg-[radial-gradient(ellipse_at_top_left,rgba(99,102,241,0.3),transparent)] backdrop-blur-sm","aurora glow ai radial neon dark"
swiss-type-prompt,swiss-international,"grid helvetica grotesque type-only system","Design a Swiss International style UI with Helvetica/grotesque type as the visual protagonist, strict column grid, bold typography as decoration, and minimal color (black white red accent).","font-sans font-black uppercase tracking-tighter text-7xl leading-none","swiss international typography grid"
retro-prompt,retro-nostalgic,"pixel retro 8bit monospace border dashed","Design a retro/pixel art UI with monospace font, dashed or dotted borders, limited 4-8 color palette, pixel-perfect alignment, and no anti-aliasing effects.","font-mono border-2 border-dashed text-sm tracking-widest uppercase","retro pixel nostalgic 8bit monospace"
claymorphism-prompt,claymorphism,"clay 3d soft rounded pastel shadow offset","Design a claymorphism UI with heavily rounded corners (rounded-3xl), saturated pastel colors, bold offset colored shadows, and elements that look like soft clay objects.","rounded-3xl shadow-[8px_8px_0px_#6D28D9] bg-violet-300 border-2 border-violet-500","claymorphism clay 3d soft pastel rounded"
material-design-prompt,material-design,"material elevation ripple state layer surface","Design a Material Design 3 UI with proper surface roles (surface, surface-variant, container), elevation through shadow levels (elevation-1 to 5), state layers for interaction, and M3 color tokens.","bg-surface text-on-surface shadow-md rounded-xl ring-1 ring-outline/20","material design elevation surface state"
navy-professional-prompt,corporate-minimal,"navy professional corporate trust authority","Design a professional corporate UI using deep navy (#003366) as primary, with clean white surfaces, subtle gray borders, red accent (#D52B1E) sparingly for alerts/CTAs, and Fraunces serif headings with DM Sans body.","bg-white text-[#1E2D47] border-[#DFE5ED] [--primary:#003366] [--accent:#D52B1E]","navy corporate professional authority trust compliance"
dashboard-dark-prompt,dark-mode,"dashboard metrics dark sidebar table","Design a dark dashboard UI with slate-900 sidebar, slate-800 main area, slate-700 cards, indigo/blue data visualization accents, compact table layouts, and KPI cards with trend indicators.","bg-slate-900 text-slate-100 border-slate-700/50 divide-slate-700","dashboard dark metrics sidebar table kpi"
saas-landing-prompt,landing-conversion-blue,"landing hero features pricing conversion","Design a SaaS landing page with bold hero headline, product screenshot/mockup, 3-column feature grid, pricing comparison table, and strong CTA buttons. Clean white background with blue primary.","section max-w-6xl mx-auto px-6 py-24 text-center","saas landing hero features pricing cta"
form-ui-prompt,corporate-minimal,"form input label validation clean","Design clean form UI with visible labels above inputs, 16px min input height, clear error states (red border + message below), success states (green), and disabled states (opacity-50).","space-y-4 [&_label]:text-sm [&_label]:font-medium [&_input]:h-10 [&_input]:rounded-md","form input label validation clean"
table-data-prompt,corporate-minimal,"table data rows columns sorting stripe","Design a data table with sticky header, alternating row colors, sortable column headers with chevron indicators, row hover state, and pagination controls at bottom.","w-full [&_th]:bg-muted [&_tr:hover]:bg-muted/50 border-collapse","table data rows columns sorting"
modal-dialog-prompt,corporate-minimal,"modal dialog overlay centered","Design a modal dialog with semi-transparent overlay (bg-black/50), centered white card with rounded-xl, header title + close button, content area, and footer with cancel/confirm buttons.","fixed inset-0 bg-black/50 flex items-center justify-center rounded-xl shadow-2xl","modal dialog overlay centered"
nav-sidebar-prompt,corporate-minimal,"sidebar navigation vertical icons labels","Design a vertical sidebar navigation with logo at top, nav items with icon + label, active state highlight, nested groups, and user profile at bottom.","w-64 h-screen bg-card border-r border-border flex flex-col","sidebar nav vertical icon label"
card-grid-prompt,bento-grid,"cards grid responsive hover","Design a responsive card grid with shadow-sm cards, hover elevation effect (shadow-md transition), icon + title + description layout, and CTA link at bottom of each card.","grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-6 [&_[data-card]]:hover:shadow-md","cards grid responsive hover elevation"
status-badge-prompt,corporate-minimal,"status badge chip label color semantic","Design semantic status badges: success (green-100 text-green-800), warning (amber-100 text-amber-800), error (red-100 text-red-800), neutral (gray-100 text-gray-700). Pill shape with dot indicator.","inline-flex items-center gap-1.5 px-2.5 py-0.5 rounded-full text-xs font-medium","status badge chip semantic color"
empty-state-prompt,flat-design,"empty state no data illustration cta","Design an empty state with centered illustration/icon, clear heading, helpful description, and primary action button. Use muted colors. Content should guide not apologize.","flex flex-col items-center justify-center py-16 text-center gap-4 text-muted-foreground","empty state no data illustration"
