id,name,category,description,recommended_style,recommended_palette,tags
compliance-saas,"Compliance SaaS",saas,"Software de cumplimiento regulatorio para empresas. Gestión de obligaciones certificaciones y fechas críticas.",corporate-minimal,calendario-compliance-navy,"compliance regulatorio obligaciones certificaciones saas b2b mexico comex"
compliance-comex,"Compliance Comercio Exterior",compliance,"Plataforma de gestión IMMEX PROSEC OEA SAT padrón importadores certificaciones IVA IEPS para empresas mexicanas.",corporate-minimal,calendario-compliance-navy,"comex immex prosec oea sat padron importadores certificacion iva ieps mexico regulatorio"
erp-system,"ERP / Sistema Empresarial",erp,"Sistema integral de gestión empresarial. Módulos de finanzas inventario RRHH compras producción.",corporate-minimal,erp-blue-enterprise,"erp enterprise resource planning finanzas inventario rrhh"
crm-platform,"CRM Platform",crm,"Gestión de relaciones con clientes. Pipeline de ventas contactos seguimiento deals automatización.",flat-design,crm-purple-relationship,"crm ventas pipeline clientes relaciones deals"
project-management,"Project Management Tool",productivity,"Gestión de proyectos tareas tableros kanban sprints timelines colaboración equipo.",flat-design,saas-slate-minimal,"proyectos tareas kanban sprint agile colaboracion equipo"
task-manager,"Task Manager",productivity,"Gestión de tareas personales y de equipo. Prioridades fechas límite recordatorios.",flat-design,saas-slate-minimal,"tareas tasks productividad personal equipo prioridades"
analytics-dashboard,"Analytics Dashboard",analytics,"Visualización de datos métricas KPIs reportes interactivos. Business intelligence.",corporate-minimal,analytics-blue-data,"analytics dashboard datos metricas kpi reportes bi business intelligence"
data-viz-platform,"Data Visualization Platform",analytics,"Plataforma de visualización avanzada de datos. Gráficos interactivos drill-down exploración.",flat-design,analytics-blue-data,"data visualization graficos charts dashboards exploracion"
saas-billing,"Billing & Subscription SaaS",saas,"Gestión de facturación suscripciones planes pagos invoices clientes.",corporate-minimal,fintech-blue-secure,"billing facturacion suscripciones pagos planes saas"
hr-platform,"HR Platform",hr,"Gestión de recursos humanos. Empleados onboarding payroll vacaciones performance.",flat-design,saas-navy-professional,"rrhh hr recursos humanos empleados payroll onboarding"
document-management,"Document Management System",productivity,"Gestión de documentos versioning firma digital búsqueda OCR flujos de aprobación.",corporate-minimal,compliance-blue-trust,"documentos gestion versionado firma digital flujos aprobacion"
calendar-scheduling,"Calendar & Scheduling",productivity,"Aplicación de calendario citas reuniones scheduling bookings disponibilidad.",flat-design,saas-slate-minimal,"calendario citas reuniones scheduling bookings"
communication-platform,"Team Communication",collaboration,"Mensajería en equipo canales threads video calls archivos colaboración en tiempo real.",flat-design,saas-emerald-growth,"mensajeria equipo canales threads colaboracion comunicacion"
knowledge-base,"Knowledge Base / Wiki",knowledge,"Base de conocimiento documentación wiki articles búsqueda organización del saber.",corporate-minimal,saas-slate-minimal,"knowledge base wiki documentacion busqueda articulos"
reporting-tool,"Reporting Tool",analytics,"Generación de reportes automáticos exportación PDF CSV visualizaciones scheduled delivery.",corporate-minimal,analytics-blue-data,"reportes exportacion pdf csv visualizaciones automaticos"
admin-panel,"Admin Panel / Back-office",admin,"Panel de administración para gestión de plataforma usuarios configuración logs.",dashboard-neutral-pro,admin-corporate-light,"admin panel backoffice usuarios configuracion gestion logs"
user-management,"User Management System",admin,"Gestión de usuarios roles permisos invitaciones auditoria accesos.",corporate-minimal,compliance-blue-trust,"usuarios roles permisos invitaciones accesos auditoria"
audit-log,"Audit Log System",compliance,"Registro de auditoría de acciones usuarios cambios compliance trazabilidad.",corporate-minimal,compliance-dark-authority,"auditoria log trazabilidad compliance acciones usuarios"
notification-center,"Notification Center",productivity,"Centro de notificaciones alerts recordatorios emails push in-app.",flat-design,saas-navy-professional,"notificaciones alerts recordatorios push email in-app"
onboarding-flow,"Onboarding Flow",ux,"Flujo de incorporación para nuevos usuarios. Steps wizard formularios activación.",flat-design,saas-emerald-growth,"onboarding incorporacion wizard steps activacion usuarios"
landing-page-saas,"SaaS Landing Page",marketing,"Página de aterrizaje para SaaS. Hero features pricing testimonials CTA.",landing-conversion-blue,saas-indigo-modern,"landing saas hero features pricing testimonials cta conversion"
pricing-page,"Pricing Page",marketing,"Página de precios planes comparativa features CTA upgrade.",landing-conversion-blue,saas-navy-professional,"pricing precios planes comparativa features upgrade"
blog-platform,"Blog / Content Platform",content,"Plataforma de blog artículos SEO categorías author pages comments.",flat-design,blog-minimal-editorial,"blog contenido articulos seo editorial"
e-commerce-store,"E-commerce Store",ecommerce,"Tienda online productos carrito checkout pagos reviews.",flat-design,ecommerce-orange-energy,"ecommerce tienda productos carrito checkout pagos"
portfolio-creative,"Creative Portfolio",portfolio,"Portafolio creativo diseñador developer artista. Proyectos about contact.",minimalism,portfolio-minimal-light,"portfolio creativo diseñador developer proyectos"
fintech-app,"Fintech Application",fintech,"Aplicación financiera transferencias saldo inversiones historiales.",fintech-dark-premium,fintech-blue-secure,"fintech app financiera transferencias saldo inversiones"
banking-dashboard,"Banking Dashboard",fintech,"Dashboard bancario cuentas movimientos pagos préstamos.",corporate-minimal,fintech-blue-secure,"banking dashboard cuentas movimientos pagos prestamos"
investment-platform,"Investment Platform",fintech,"Plataforma de inversiones portfolio activos rendimientos histórico.",fintech-dark-premium,fintech-green-wealth,"inversiones portfolio activos rendimientos trading"
insurance-portal,"Insurance Portal",insurance,"Portal de seguros pólizas coberturas reclamaciones renovaciones.",corporate-minimal,insurance-blue-stable,"seguros polizas coberturas reclamaciones renovaciones"
legal-platform,"Legal Platform",legal,"Plataforma legal contratos cases calendarios deadlines facturación.",corporate-minimal,legal-charcoal,"legal contratos cases deadlines facturacion abogados"
real-estate-portal,"Real Estate Portal",realestate,"Portal inmobiliario propiedades búsqueda filtros agentes favoritos.",flat-design,real-estate-premium,"inmobiliario propiedades busqueda filtros agentes"
healthcare-portal,"Healthcare Patient Portal",healthcare,"Portal de salud pacientes citas historial médico recetas laboratorios.",flat-design,healthcare-teal-care,"salud pacientes citas historial recetas laboratorio"
education-lms,"Education LMS",education,"Plataforma de aprendizaje cursos lecciones quizzes progreso certificados.",flat-design,education-blue-trust,"educacion lms cursos lecciones quizzes progreso certificados"
restaurant-pos,"Restaurant POS",hospitality,"Sistema punto de venta restaurante órdenes mesas pagos inventario.",flat-design,ecommerce-orange-energy,"restaurante pos ordenes mesas pagos inventario hospitality"
event-management,"Event Management",events,"Gestión de eventos registro asistentes agenda speakers tickets.",flat-design,saas-violet-creative,"eventos registro asistentes agenda speakers tickets"
inventory-system,"Inventory Management",logistics,"Control de inventario stock almacenes órdenes de compra suppliers.",corporate-minimal,logistics-orange-action,"inventario stock almacenes compras suppliers logistics"
fleet-management,"Fleet Management",logistics,"Gestión de flota vehículos rutas conductores mantenimiento GPS.",corporate-minimal,logistics-orange-action,"flota vehiculos rutas conductores mantenimiento gps"
construction-pm,"Construction Project Management",construction,"Gestión de construcción proyectos contratistas presupuestos planos inspecciones.",corporate-minimal,manufacturing-gray-industrial,"construccion proyectos contratistas presupuesto planos"
manufacturing-mes,"Manufacturing MES",manufacturing,"Sistema de ejecución manufactura órdenes producción calidad máquinas.",corporate-minimal,manufacturing-gray-industrial,"manufactura produccion calidad maquinas mes erp"
